gameweek,kickoff_time,home_team,home_team_elo,home_score,away_score,away_team,away_team_elo,finished,match_id,match_url,home_possession,away_possession,home_expected_goals_xg,away_expected_goals_xg,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_accurate_passes,away_accurate_passes,home_accurate_passes_pct,away_accurate_passes_pct,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_xg_open_play,away_xg_open_play,home_xg_set_play,away_xg_set_play,home_non_penalty_xg,away_non_penalty_xg,home_xg_on_target_xgot,away_xg_on_target_xgot,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_hit_woodwork,away_hit_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half,away_own_half,home_opposition_half,away_opposition_half,home_accurate_long_balls,away_accurate_long_balls,home_accurate_long_balls_pct,away_accurate_long_balls_pct,home_accurate_crosses,away_accurate_crosses,home_accurate_crosses_pct,away_accurate_crosses_pct,home_throws,away_throws,home_touches_in_opposition_box,away_touches_in_opposition_box,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_won,away_tackles_won,home_tackles_won_pct,away_tackles_won_pct,home_interceptions,away_interceptions,home_blocks,away_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_ground_duels_won,away_ground_duels_won,home_ground_duels_won_pct,away_ground_duels_won_pct,home_aerial_duels_won,away_aerial_duels_won,home_aerial_duels_won_pct,away_aerial_duels_won_pct,home_successful_dribbles,away_successful_dribbles,home_successful_dribbles_pct,away_successful_dribbles_pct,fotmob_id,stats_processed,player_stats_processed,home_distance_covered,away_distance_covered,home_walking_distance,away_walking_distance,home_running_distance,away_running_distance,home_sprinting_distance,away_sprinting_distance,home_number_of_sprints,away_number_of_sprints,home_top_speed,away_top_speed,tournament
30.0,2026-03-16T20:00:00,94.0,1853.47,,,39.0,1669.32,False,25-26-prem-brentford-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-brentford/2ubp0j#4813666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813666.0,False,False,,,,,,,,,,,,,prem
30.0,2026-03-14T15:00:00,17.0,1784.7,,,54.0,1807.68,False,25-26-prem-nottingham-forest-vs-fulham,/matches/fulham-vs-nottingham-forest/3c2cdu#4813672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813672.0,False,False,,,,,,,,,,,,,prem
30.0,,6.0,1775.85,2.0,5.0,,,True,25-26-champions-league-tottenham-hotspur-vs-atletico-madrid,/matches/tottenham-hotspur-vs-atletico-madrid/2tt1i0#5205741,58.0,42.0,3.12,1.41,11.0,11.0,7.0,5.0,6.0,3.0,2.0,2.0,417.0,293.0,85.0,83.0,15.0,12.0,4.0,2.0,2.7,1.1,0.41,0.31,3.12,1.41,3.34,1.65,2.0,5.0,2.0,1.0,0.0,1.0,9.0,9.0,2.0,2.0,490.0,352.0,212.0,193.0,205.0,100.0,25.0,14.0,51.0,33.0,2.0,5.0,14.0,45.0,17.0,21.0,23.0,17.0,0.0,1.0,0.0,5.0,0.0,0.0,25.0,12.0,,,5.0,11.0,1.0,2.0,17.0,12.0,3.0,3.0,53.0,38.0,39.0,37.0,51.0,49.0,14.0,1.0,93.0,7.0,3.0,11.0,27.0,44.0,,True,True,,,,,,,,,,,,,champions-league
30.0,2026-03-14T12:30:00,21.0,1743.59,,,43.0,1973.92,False,25-26-prem-west-ham-united-vs-manchester-city,/matches/manchester-city-vs-west-ham-united/2f5prf#4813674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813674.0,False,False,,,,,,,,,,,,,prem
30.0,2025-09-18T19:00:00,,,1.0,1.0,4.0,1866.88,True,25-26-champions-league-barcelona-vs-newcastle-united,/matches/barcelona-vs-newcastle-united/2yahjm#5205733,,,1.46,1.31,10.0,19.0,6.0,5.0,2.0,2.0,1.0,2.0,205.0,462.0,73.0,86.0,11.0,12.0,6.0,4.0,1.11,1.2,0.35,0.11,1.46,1.31,2.3,1.73,1.0,8.0,3.0,6.0,0.0,0.0,7.0,14.0,3.0,5.0,282.0,539.0,105.0,146.0,100.0,316.0,18.0,25.0,37.0,60.0,2.0,3.0,10.0,30.0,19.0,20.0,28.0,38.0,3.0,0.0,2.0,4.0,0.0,0.0,12.0,20.0,,,7.0,12.0,6.0,3.0,27.0,26.0,3.0,5.0,42.0,54.0,31.0,40.0,44.0,56.0,11.0,14.0,44.0,56.0,7.0,9.0,54.0,53.0,,True,True,,,,,,,,,,,,,champions-league
30.0,2025-10-02T19:00:00,,,1.0,0.0,17.0,1776.76,True,25-26-europa-league-fc-midtjylland-vs-nottingham-forest,/matches/fc-midtjylland-vs-nottingham-forest/2rvkqn#5206096,,,2.05,2.1,22.0,8.0,9.0,5.0,4.0,4.0,2.0,1.0,402.0,223.0,86.0,78.0,14.0,15.0,10.0,8.0,0.86,0.08,0.4,2.02,1.26,2.1,2.71,2.92,7.0,2.0,6.0,1.0,0.0,0.0,12.0,6.0,10.0,2.0,466.0,287.0,182.0,137.0,220.0,86.0,20.0,19.0,54.0,36.0,8.0,6.0,25.0,32.0,18.0,9.0,34.0,14.0,3.0,2.0,3.0,2.0,0.0,0.0,19.0,16.0,,,3.0,8.0,1.0,5.0,18.0,37.0,1.0,7.0,55.0,46.0,43.0,37.0,54.0,46.0,12.0,9.0,57.0,43.0,9.0,8.0,50.0,40.0,,True,True,,,,,,,,,,,,,europa-league
30.0,,8.0,1929.65,2.0,5.0,,,True,25-26-champions-league-chelsea-vs-paris-saint-germain,/matches/chelsea-vs-paris-saint-germain/2rq4ag#5205729,58.0,42.0,0.87,1.53,9.0,9.0,8.0,4.0,3.0,4.0,0.0,2.0,518.0,349.0,88.0,83.0,14.0,7.0,2.0,3.0,0.79,1.08,0.08,0.44,0.87,1.53,1.78,1.02,0.0,3.0,1.0,2.0,1.0,0.0,6.0,8.0,3.0,1.0,587.0,418.0,272.0,227.0,246.0,122.0,25.0,19.0,56.0,41.0,2.0,3.0,50.0,50.0,12.0,26.0,26.0,17.0,2.0,2.0,1.0,0.0,0.0,0.0,23.0,19.0,,,11.0,10.0,2.0,1.0,11.0,8.0,2.0,3.0,40.0,43.0,35.0,37.0,49.0,51.0,5.0,6.0,45.0,55.0,6.0,5.0,40.0,36.0,,True,True,,,,,,,,,,,,,champions-league
30.0,,3.0,2065.61,1.0,1.0,,,True,25-26-champions-league-arsenal-vs-bayer-leverkusen,/matches/bayer-leverkusen-vs-arsenal/2ohs73#5205743,45.0,55.0,0.88,1.65,10.0,6.0,3.0,2.0,1.0,2.0,0.0,1.0,387.0,456.0,88.0,87.0,9.0,10.0,2.0,3.0,0.53,0.82,0.35,0.04,0.88,0.86,0.78,1.04,4.0,3.0,3.0,1.0,0.0,1.0,4.0,6.0,6.0,0.0,442.0,523.0,187.0,200.0,200.0,256.0,15.0,15.0,34.0,50.0,3.0,6.0,33.0,29.0,17.0,12.0,9.0,26.0,0.0,1.0,4.0,3.0,0.0,0.0,13.0,4.0,,,11.0,6.0,1.0,3.0,26.0,9.0,1.0,2.0,34.0,33.0,27.0,19.0,59.0,41.0,7.0,14.0,33.0,67.0,4.0,6.0,80.0,55.0,,True,True,,,,,,,,,,,,,champions-league
30.0,2025-09-30T19:00:00,14.0,1944.3,0.0,1.0,,,True,25-26-champions-league-liverpool-vs-galatasaray,/matches/galatasaray-vs-liverpool/2gyyp2#5205737,,,1.34,1.81,9.0,16.0,4.0,4.0,3.0,3.0,2.0,3.0,184.0,458.0,68.0,87.0,12.0,14.0,3.0,7.0,0.31,1.22,0.24,0.59,0.55,1.81,1.01,0.79,3.0,5.0,2.0,7.0,0.0,0.0,4.0,11.0,5.0,5.0,271.0,525.0,98.0,248.0,86.0,210.0,22.0,24.0,35.0,50.0,0.0,8.0,0.0,29.0,13.0,20.0,16.0,33.0,2.0,1.0,5.0,3.0,0.0,0.0,25.0,12.0,,,7.0,5.0,8.0,2.0,27.0,29.0,4.0,3.0,61.0,46.0,45.0,29.0,61.0,39.0,16.0,17.0,48.0,52.0,6.0,5.0,67.0,31.0,,True,True,,,,,,,,,,,,,champions-league
30.0,,7.0,1886.1,1.0,0.0,,,True,25-26-europa-league-aston-villa-vs-lille,/matches/lille-vs-aston-villa/2y8v8h#5206097,49.0,51.0,0.43,0.51,7.0,9.0,3.0,1.0,2.0,0.0,2.0,0.0,381.0,405.0,86.0,86.0,11.0,12.0,3.0,2.0,0.37,0.51,0.06,0.0,0.43,0.51,0.71,0.08,2.0,5.0,2.0,3.0,0.0,1.0,3.0,7.0,4.0,2.0,442.0,470.0,197.0,227.0,184.0,178.0,14.0,25.0,38.0,49.0,2.0,2.0,11.0,18.0,14.0,11.0,9.0,21.0,5.0,1.0,0.0,2.0,0.0,0.0,16.0,15.0,,,11.0,10.0,3.0,2.0,20.0,22.0,0.0,3.0,39.0,45.0,30.0,33.0,48.0,52.0,9.0,12.0,43.0,57.0,4.0,8.0,40.0,57.0,,True,False,,,,,,,,,,,,,europa-league
