id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
176,u,0.0,0.0,4.5,462,281.0,0,0.0,0,0.0,0.0,689,281.0,0,0,0.0,721.0,296.0,0,0,0.0,637.0,238.0,0.0,0.0,0.0,1435,0,4597,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,291.0,0.0,712.0,293.0,0.0,696.0,286.0,0.0,717.0,292.0,,,,30,,Adrian,Mazilu,Mazilu,has joined Dinamo Bucharest permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
286,a,,,4.4,561,81.0,0,0.0,-1,1.0,0.3,309,50.0,0,0,0.0,683.0,73.0,0,0,0.0,589.0,61.0,0.0,0.0,0.0,51087,8,58589,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,73.0,0.0,671.0,72.0,0.0,651.0,72.0,0.0,678.0,73.0,,,,30,,Zach,Marsh,Marsh,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
312,u,0.0,0.0,4.9,334,62.0,0,0.0,-1,1.0,0.1,547,76.0,0,0,0.0,779.0,87.0,0,0,0.0,729.0,78.0,0.0,0.0,0.0,2418,0,14537,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,87.0,0.0,774.0,86.0,0.0,770.0,86.0,0.0,778.0,87.0,,,,30,,Youssef,Ramalho Chermiti,Y.Chermiti,has joined Rangers permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
786,a,,,4.0,702,60.0,0,0.0,0,0.0,0.0,749,85.0,0,0,0.0,608.0,80.0,0,0,0.0,475.0,73.0,0.0,0.0,0.0,630,0,327,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.0,80.0,0.0,589.0,67.0,0.0,560.0,54.0,0.0,600.0,80.0,,,,30,,Alfie,McNally,McNally,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
168,a,100.0,100.0,4.6,403,249.0,0,0.0,-4,4.0,0.1,491,176.0,2,0,0.7,514.0,241.0,0,5,0.0,685.0,275.0,0.0,0.4,0.0,16301,7,29512,6,0.0,0.0,0.04,0.1,0.14,1.86,0.05,0.13,0.18,2.43,6.0,472.0,212.0,25.7,384.0,194.0,19.0,384.0,193.0,5.0,447.0,200.0,,,,30,,Facundo,Buonanotte,Buonanotte,,,69,0,0,0,2,0,0,0,1,0,0,1,5,,,,0.0,0.0,2.61,1.3,6.52,1,1,3
339,a,,,4.1,655,37.0,0,0.0,-4,4.0,0.3,303,40.0,0,0,0.0,636.0,86.0,0,0,0.0,508.0,79.0,0.0,0.0,0.0,13556,11,63637,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.0,86.0,0.0,618.0,74.0,0.0,591.0,61.0,0.0,628.0,86.0,,,,30,,Illan,Meslier,Meslier,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
340,a,,,3.9,746,73.0,0,0.0,-1,1.0,0.1,415,62.0,0,0,0.0,545.0,43.0,0,0,0.0,407.0,34.0,0.0,0.0,0.0,8453,5,15063,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,43.0,0.0,522.0,26.0,0.0,492.0,13.0,0.0,537.0,43.0,,,,30,,Alex,Cairns,Cairns,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
341,a,,,3.9,741,68.0,0,0.0,-1,1.0,2.5,122,17.0,30,0,2.3,294.0,26.0,0,149,1.8,169.0,15.0,0.5,7.7,0.0,253817,209,276002,118,1.8,1.8,0.0,0.03,0.03,16.39,0.0,0.0,0.0,1.26,290.8,196.0,22.0,0.0,517.0,21.0,0.0,487.0,8.0,29.3,339.0,22.0,,,,30,,Karl,Darlow,Darlow,,,1170,0,0,1,19,0,0,0,1,0,34,13,59,,,,2.62,0.08,1.46,1.0,0.0,0,18,118
361,u,0.0,0.0,4.5,440,264.0,0,0.0,0,0.0,0.0,668,269.0,0,0,0.0,708.0,283.0,0,0,0.0,622.0,224.0,0.0,0.0,0.0,1165,0,8404,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.0,277.0,0.0,699.0,280.0,0.0,682.0,273.0,0.0,704.0,279.0,,,,30,,Darko,Gyabi,Gyabi,has joined Hull City permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
405,a,,,5.2,204,27.0,0,0.0,-3,3.0,0.6,235,88.0,27,0,1.9,353.0,133.0,1,114,0.2,359.0,130.0,0.0,5.2,0.0,45212,13,86666,26,0.0,0.7,0.28,0.44,0.72,7.92,0.05,0.08,0.13,1.46,102.0,353.0,134.0,93.1,274.0,83.0,25.0,371.0,128.0,22.1,364.0,126.0,,,,30,,Nathan,Aké,Aké,,,487,0,0,2,7,0,0,0,1,0,0,4,41,,,,0.0,0.37,1.29,0.74,7.02,9,29,12
